symbol,trade_no,side,entry_time,exit_time,entry_time_utc,exit_time_utc,entry_signal,exit_signal,entry_price,exit_price,size,notional,net_pnl,net_pnl_pct,favorable,favorable_pct,adverse,adverse_pct,cumulative_pnl,cumulative_pnl_pct
"BTC","17","Short","Apr 04, 2026, 17:45","Apr 04, 2026, 19:45","2026-04-04T08:45:00.000Z","2026-04-04T10:45:00.000Z","L1","Close position order","66,907.8 USDT","67,139.1 USDT","2.49","166.29 KUSDT","−574.875 USDT","−0.35%","66.857 USDT","0.04%","−602.711 USDT","−0.36%","7,210.163 USDT","0.72%"
"BTC","16","Short","Apr 04, 2026, 15:45","Apr 04, 2026, 15:45","2026-04-04T06:45:00.000Z","2026-04-04T06:45:00.000Z","L2","Close position order","67,017.1 USDT","66,981.5 USDT","2.48","166.34 KUSDT","+88.362 USDT","+0.05%","88.362 USDT","0.05%","−16.382 USDT","−0.01%","7,785.037 USDT","0.78%"
"BTC","15","Short","Apr 04, 2026, 02:45","Apr 04, 2026, 15:45","2026-04-03T17:45:00.000Z","2026-04-04T06:45:00.000Z","L1","Close position order","66,811.0 USDT","66,981.5 USDT","2.49","166.36 KUSDT","−424.553 USDT","−0.26%","175.299 USDT","0.11%","−529.633 USDT","−0.32%","7,696.675 USDT","0.77%"
"BTC","14","Long","Apr 02, 2026, 10:00","Apr 02, 2026, 10:15","2026-04-02T01:00:00.000Z","2026-04-02T01:15:00.000Z","L2","Close position order","68,105.3 USDT","67,538.9 USDT","2.45","166.72 KUSDT","−1,386.551 USDT","−0.83%","9.302 USDT","0.01%","−2,159.876 USDT","−1.30%","8,121.228 USDT","0.81%"
"BTC","13","Long","Apr 02, 2026, 09:45","Apr 02, 2026, 10:15","2026-04-02T00:45:00.000Z","2026-04-02T01:15:00.000Z","L1","Close position order","68,565.1 USDT","67,538.9 USDT","2.38","163.2 KUSDT","−2,442.559 USDT","−1.50%","0.238 USDT","0.00%","−3,194.464 USDT","−1.96%","9,507.778 USDT","0.95%"
"BTC","12","Short","Apr 01, 2026, 01:30","Apr 01, 2026, 02:00","2026-03-31T16:30:00.000Z","2026-03-31T17:00:00.000Z","L2","HARD_SL","67,445.4 USDT","68,513.7 USDT","2.49","167.95 KUSDT","−2,660.225 USDT","−1.58%","0 USDT","0.00%","−2,660.225 USDT","−1.58%","11,950.338 USDT","1.20%"
"BTC","11","Short","Apr 01, 2026, 00:00","Apr 01, 2026, 02:00","2026-03-31T15:00:00.000Z","2026-03-31T17:00:00.000Z","L1","HARD_SL","67,127.2 USDT","68,513.7 USDT","2.5","167.98 KUSDT","−3,469.665 USDT","−2.07%","1,152.885 USDT","0.69%","−3,469.665 USDT","−2.07%","14,610.563 USDT","1.46%"
"BTC","10","Short","Mar 23, 2026, 20:00","Mar 23, 2026, 20:45","2026-03-23T11:00:00.000Z","2026-03-23T11:45:00.000Z","L2","Close position order","70,931.8 USDT","70,097.3 USDT","2.45","173.69 KUSDT","+2,043.375 USDT","+1.18%","2,265.22 USDT","1.30%","−749.768 USDT","−0.43%","18,080.229 USDT","1.81%"
"BTC","9","Short","Mar 23, 2026, 20:00","Mar 23, 2026, 20:45","2026-03-23T11:00:00.000Z","2026-03-23T11:45:00.000Z","L1","Close position order","70,374.9 USDT","70,097.3 USDT","2.38","167.54 KUSDT","+660.865 USDT","+0.39%","876.551 USDT","0.52%","−2,602.277 USDT","−1.55%","16,036.853 USDT","1.60%"
"BTC","8","Short","Mar 21, 2026, 23:00","Mar 21, 2026, 23:00","2026-03-21T14:00:00.000Z","2026-03-21T14:00:00.000Z","L2","Close position order","70,896.4 USDT","70,992.7 USDT","2.37","168.05 KUSDT","−228.272 USDT","−0.14%","0 USDT","0.00%","−429.757 USDT","−0.26%","15,375.987 USDT","1.54%"
"BTC","7","Short","Mar 20, 2026, 23:00","Mar 21, 2026, 23:00","2026-03-20T14:00:00.000Z","2026-03-21T14:00:00.000Z","L1","Close position order","70,018.3 USDT","70,992.7 USDT","2.4","167.96 KUSDT","−2,337.399 USDT","−1.39%","1,603.124 USDT","0.95%","−2,541.298 USDT","−1.51%","15,604.259 USDT","1.56%"
"BTC","6","Long","Mar 13, 2026, 03:45","Mar 13, 2026, 23:30","2026-03-12T18:45:00.000Z","2026-03-13T14:30:00.000Z","L2","Close position order","69,808.4 USDT","72,899.9 USDT","2.37","165.75 KUSDT","+7,340.235 USDT","+4.43%","9,643.57 USDT","5.82%","−198.019 USDT","−0.12%","17,941.658 USDT","1.79%"
"BTC","5","Long","Mar 13, 2026, 01:45","Mar 13, 2026, 23:30","2026-03-12T16:45:00.000Z","2026-03-13T14:30:00.000Z","L1","Close position order","70,250.0 USDT","72,899.9 USDT","2.36","165.72 KUSDT","+6,251.035 USDT","+3.77%","8,539.472 USDT","5.15%","−1,238.459 USDT","−0.75%","10,601.424 USDT","1.06%"
"BTC","4","Long","Mar 12, 2026, 03:30","Mar 12, 2026, 10:00","2026-03-11T18:30:00.000Z","2026-03-12T01:00:00.000Z","L1","Close position order","70,376.8 USDT","69,864.2 USDT","2.36","165.92 KUSDT","−1,208.482 USDT","−0.73%","1,308.678 USDT","0.79%","−1,303.963 USDT","−0.79%","4,350.389 USDT","0.44%"
"BTC","3","Long","Mar 04, 2026, 00:45","Mar 04, 2026, 23:30","2026-03-03T15:45:00.000Z","2026-03-04T14:30:00.000Z","L1","Close position order","67,692.5 USDT","71,379.1 USDT","2.43","164.4 KUSDT","+8,953.428 USDT","+5.45%","11,991.415 USDT","7.29%","−831.81 USDT","−0.51%","5,558.871 USDT","0.56%"
"BTC","2","Long","Mar 02, 2026, 16:00","Mar 02, 2026, 16:00","2026-03-02T07:00:00.000Z","2026-03-02T07:00:00.000Z","L2","Close position order","65,802.3 USDT","65,661.8 USDT","2.51","164.95 KUSDT","−352.205 USDT","−0.21%","0 USDT","0.00%","−615.167 USDT","−0.37%","−3,394.557 USDT","−0.34%"
"BTC","1","Long","Mar 02, 2026, 13:15","Mar 02, 2026, 16:00","2026-03-02T04:15:00.000Z","2026-03-02T07:00:00.000Z","L1","Close position order","66,904.4 USDT","65,661.8 USDT","2.45","163.81 KUSDT","−3,042.352 USDT","−1.86%","150.82 USDT","0.09%","−3,299.187 USDT","−2.01%","−3,042.352 USDT","−0.30%"
